"","name","gs_email","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author","pc_chairs","pcs","session_chairs","panels","keynotes","papers","gender","country","sector"
"2575","Fucai, Chen","",0,0,0,0,0,1,"","","","","","HPCC","M","NA","NA"
"2576","Fuentes, Pablo","@unican.es",0,0,0,0,0,1,"","","","","","IPDPS","NA","es","edu"
"2577","Fuerlinger, Karl","@nm.ifi.lmu.de",0,1,0,0,0,0,"","CCGrid","","","","","M","de","edu"
"2578","Fuhr, Norbert","@uni-due.de",0,1,0,0,0,0,"","SIGIR","","","","","M","de","edu"
"2579","Fuhry, Pavid","@cse.ohio-state.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"2580","Fujiki, Daichi","",0,0,0,0,0,1,"","","","","","HPCA","NA","NA","NA"
"2581","Fujita, Hajime","@nifty.com",0,0,0,0,0,1,"","","","","","SC","F","NA","com"
"2582","Fujita, Sumio","",0,0,0,0,0,1,"","","","","","SIGMOD","M","NA","NA"
"2583","Fujiwara, Ikki","@nict.go.jp",0,0,0,0,0,2,"","","","","","HPCA,Cluster","F","jp","gov"
"2584","Fujiwara, Yasuhiro","",0,0,0,0,0,1,"","","","","","SIGMOD","M","NA","NA"
"2585","Fukuda, Kensuke","@nii.ac.jp",0,1,0,0,0,0,"","IMC","","","","","M","jp","edu"
"2586","Fukumoto, Naoto","@jp.fujitsu.com",0,0,0,0,0,1,"","","","","","SYSTOR","M","NA","com"
"2587","Fuller, Benjamin","@uconn.edu",0,0,0,0,0,1,"","","","","","SP","NA","ed","edu"
"2588","Fumero, Juan","@ed.ac.uk",0,0,0,0,0,1,"","","","","","VEE","M","uk","edu"
"2589","Fung, Benjamin C. M.","@mcgill.ca",0,1,0,0,0,0,"","KDD","","","","","M","ca","edu"
"2590","Funnell, Adam","@ucl.ac.uk",0,0,0,0,0,1,"","","","","","HotI","F","ac","edu"
"2591","Furukawa, Jun","",0,0,0,0,0,1,"","","","","","SP","NA","NA","NA"
"2592","Fusella, Edoardo","@unina.it",0,1,0,0,0,0,"","ICPP","","","","","M","it","edu"
"2593","Futamura, Yasunori","@cs.tsukuba.ac.jp",0,0,0,0,0,1,"","","","","","SC","M","jp","edu"
"2594","Förster, Klaus-Tycho","@cs.aau.dk",0,0,0,0,0,1,"","","","","","SIGCOMM","M","dk","edu"
"2595","Füracker, Ludwig","",0,0,0,0,0,1,"","","","","","ATC","M","NA","NA"
"2596","Fürnkranz, Johannes","@ke.informatik.tu-darmstadt.de",0,1,1,0,0,0,"","KDD","KDD","","","","M","de","edu"
"2597","G., Uma Maheswara Rao","",0,0,0,0,0,1,"","","","","","SOCC","NA","NA","NA"
"2598","Gabriel, Alice-Agnes","@geophysik.uni-muenchen.de",0,0,0,0,0,1,"","","","","","SC","M","de","edu"
"2599","Gabriel, Edgar","@cs.uh.edu",0,1,0,0,0,0,"","CCGrid","","","","","M","ed","edu"
"2600","Gabrilovich, Evgeniy","@google.com",0,1,0,0,0,0,"","SIGIR","","","","","M","NA","com"
"2601","Gadepally, Vijay","",0,0,0,0,0,2,"","","","","","SP,CIDR","M","NA","NA"
"2602","Gaertner, Thomas","@nottingham.ac.uk",0,1,0,0,0,0,"","KDD","","","","","M","uk","edu"
"2603","Gaetano, Francesco","",0,0,0,0,0,1,"","","","","","CCGrid","M","NA","NA"
"2604","Gaffney, Niall","",0,0,0,1,0,0,"","","","SC","","","M","NA","NA"
"2605","Gailly, Nicolas","@epfl.ch",0,0,0,0,0,1,"","","","","","SP","M","ch","edu"
"2606","Gainaru, Ana","@vanderbilt.edu",0,1,0,0,0,0,"","SC","","","","","F","us","edu"
"2607","Gaither, Kelly","@tacc.utexas.edu",0,1,0,0,0,0,"","SC","","","","","F","ed","edu"
"2608","Gajbe, Manisha","@ncsa.illinois.edu",0,2,0,0,0,0,"","IPDPS,HPCC","","","","","F","us","edu"
"2609","Galanis, Leonidas","",0,0,0,0,0,1,"","","","","","CIDR","NA","NA","NA"
"2610","Galbraith, Byron","",0,0,1,0,0,0,"","","KDD","","","","M","NA","NA"
"2611","Galbrun, Esther","",0,1,0,0,0,0,"","ICDM","","","","","F","NA","NA"
"2612","Galea, Salvator","@cl.cam.ac.uk",0,0,0,0,0,1,"","","","","","ATC","F","uk","edu"
"2613","Galhotra, Sainyam","@cs.umass.edu",0,0,0,0,0,1,"","","","","","SIGMOD","M","ed","edu"
"2614","Galisteo, Ander","@imdea.org",0,0,0,0,0,1,"","","","","","CoNEXT","M","es","edu"
"2615","Gall, Francois Le","@is.s.u-tokyo.ac.jp",0,0,0,0,0,1,"","","","","","PODC","NA","jp","edu"
"2616","Gallagher, Luke","MISSING",0,0,0,0,0,1,"","","","","","SIGIR","M","NA","NA"
"2617","Gallinari, Patrick","@lip6.fr",0,1,0,0,0,1,"","SIGIR","","","","ICDM","M","fr","gov"
"2618","Galon, Shay","",0,0,0,0,0,1,"","","","","","IISWC","NA","NA","NA"
"2619","Galstyan, Aram","@isi.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"2620","Galt, Emily","",0,0,0,0,1,0,"","","","","CIDR","","F","NA","NA"
"2621","Gama, Joao","@fep.up.pt",0,2,0,0,0,0,"","KDD,ICDM","","","","","M","pt","edu"
"2622","Gamblin, Todd","@llnl.gov",0,2,1,0,0,6,"","IPDPS,PACT","Cluster","","","SC,SC,SC,IPDPS,IPDPS,IPDPS","M","us","gov"
"2623","Gamero-Garrido, Alexander","@eng.ucsd.edu",0,0,0,0,0,1,"","","","","","CCS","M","ed","edu"
"2624","Gams, Matjaz","@ijs.si",0,1,0,0,0,0,"","ICDM","","","","","M","si","gov"
"2625","Gan, Edward","",0,0,0,0,0,3,"","","","","","SIGMOD,SIGMOD,CIDR","M","NA","NA"
"2626","Gan, Junhao","@uq.edu.au",0,0,0,0,0,1,"","","","","","SIGMOD","M","ed","edu"
"2627","Gan, Lin","",0,0,0,0,0,1,"","","","","","IPDPS","F","NA","NA"
"2628","Gan, Qingtian","",0,0,0,0,0,1,"","","","","","HPCC","M","NA","NA"
"2629","Gan, Ze","",0,0,0,0,0,1,"","","","","","ATC","NA","NA","NA"
"2630","Ganapathi, Pramod","",0,0,0,0,0,1,"","","","","","SPAA","F","NA","NA"
"2631","Ganapathi, Ravindra Babu","@intel.com",0,0,0,0,0,2,"","","","","","HotI,HotI","M","NA","com"
"2632","Gandhi, Anshul","@cs.stonybrook.edu",0,1,2,0,0,4,"","ICAC","MASCOTS,SIGMETRICS","","","MASCOTS,IGSC,ICAC,SIGMETRICS","M","us","edu"
"2633","Gandhi, Jayneel","@cs.wisc.edu",0,0,0,0,0,1,"","","","","","MICRO","NA","us","edu"
