name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Hirsch, Thomas",,0,0,0,0,0,1,,,,,,MobiCom,NA,NA,NA
"Hirshman, Steven",@fas.harvard.edu,0,0,0,0,0,1,,,,,,ICPP,NA,us,edu
"Hirvonen, Juho",@aalto.fi,0,0,0,0,0,1,,,,,,PODC,NA,fi,edu
"Hirzel, Martin",@us.ibm.com,0,0,0,0,0,1,,,,,,SIGMOD,NA,us,com
"Hitaj, Briland",@di.uniroma1.it,0,0,0,0,0,1,,,,,,CCS,NA,it,edu
"Hitschfeld, Nancy",@dcc.uchile.cl,0,0,0,0,0,1,,,,,,HPCC,NA,cl,edu
"Ho, C. Richard",,0,0,0,0,0,1,,,,,,ISCA,NA,NA,NA
"Ho, Li-Yung",,0,0,0,0,0,1,,,,,,CCGrid,NA,NA,NA
"Ho, Qirong",@petuum.com,0,0,0,0,0,1,,,,,,ATC,NA,NA,com
"Hoang, Duong",,0,0,0,0,0,1,,,,,,HiPC,NA,NA,NA
"Hoang, Thang",@eecs.oregonstate.edu,0,0,0,0,0,1,,,,,,CCS,NA,us,edu
"Hoang, Viet Tung",@cs.fsu.edu,0,0,0,0,0,1,,,,,,CCS,NA,us,edu
"Hobson, Thomas",@ll.mit.edu,0,0,0,0,0,1,,,,,,NDSS,NA,us,edu
"Hoe, James",@ece.cmu.edu,0,2,0,0,0,0,,"MICRO,ISCA",,,,,M,us,edu
"Hoefer, Martin",@em.uni-frankfurt.de,0,1,0,0,0,0,,SPAA,,,,,M,de,edu
"Hoefler, Torsten",@inf.ethz.ch,2,0,1,0,0,13,"ICPP,IPDPS",,IPDPS,,,"SPAA,SC,SC,HotI,HotI,PPoPP,HPDC,HPDC,IPDPS,IPDPS,IPDPS,IPDPS,IPDPS",M,ch,edu
"Hoemmen, Mark",@sandia.gov,0,2,0,0,0,0,,"SC,IPDPS",,,,,M,us,gov
"Hoffman, Forrest",@climatemodeling.org,0,0,0,0,0,1,,,,,,Cluster,NA,us,NA
"Hoffman, Moritz",@inf.ethz.ch,0,0,0,0,0,1,,,,,,HotOS,NA,ch,edu
"Hoffmann, Henry",@cs.uchicago.edu,0,1,0,0,0,2,,SOSP,,,,"MICRO,ICAC",M,ed,edu
"Hoffmann, Jan",@cmu.edu,0,1,0,0,0,1,,PLDI,,,,SP,M,us,edu
"Hoffmann, Max",,0,0,0,0,0,2,,,,,,"CCS,CCS",NA,NA,NA
"Hofman, Rutger",@cs.vu.nl,0,1,0,0,0,0,,EuroPar,,,,,M,nl,edu
"Hofmann, Johannes",,0,0,0,0,0,1,,,,,,ISC,NA,NA,NA
"Hofmann, Katja",@microsoft.com,0,1,0,0,0,0,,SIGIR,,,,,F,NA,com
"Hofmeyr, Steven",@lbl.gov,0,0,0,0,0,1,,,,,,EuroPar,NA,us,gov
"Hogberg, Doug",,0,0,0,0,0,1,,,,,,ISCA,NA,NA,NA
"Hohl, Alexander",@uncc.edu,0,0,0,0,0,1,,,,,,ICPP,M,ed,edu
"Hoi, Steven C.H.",@smu.edu.sg,0,0,0,0,0,1,,,,,,ICDM,NA,us,edu
"Hoisie, Adolfy",,0,0,0,0,0,1,,,,,,SC,NA,NA,NA
"Holik, Lukas",@fit.vutbr.cz,0,0,0,0,0,1,,,,,,PLDI,NA,cz,edu
"Holladay, Daniel",@lanl.gov,0,0,0,0,0,1,,,,,,IPDPS,NA,us,gov
"Hollick, Matthias",,0,0,0,0,0,1,,,,,,CoNEXT,NA,NA,NA
"Holliman, Matthew",,0,0,0,0,0,1,,,,,,SIGCOMM,NA,NA,NA
"Hollingsworth, Jeffrey K.",@cs.umd.edu,0,0,1,0,0,1,,,IPDPS,,,IPDPS,M,ed,edu
"Holman, Michael",,0,0,0,0,0,1,,,,,,PLDI,NA,NA,NA
